x:  0, y:  0, r:  148, g:    2, b:   11
x:  1, y:  0, r:  152, g:    6, b:   15
x:  2, y:  0, r:  148, g:    2, b:   12
x:  3, y:  0, r:  151, g:    6, b:   16
x:  4, y:  0, r:  147, g:    3, b:   12
x:  5, y:  0, r:  144, g:    3, b:   11
x:  6, y:  0, r:  154, g:   14, b:   21
x:  7, y:  0, r:  143, g:    2, b:   10
x:  8, y:  0, r:  144, g:    4, b:   12
x:  9, y:  0, r:  160, g:   20, b:   27
x: 10, y:  0, r:  143, g:    4, b:   11
x: 11, y:  0, r:  148, g:    9, b:   16
x: 12, y:  0, r:  144, g:    5, b:   12
x: 13, y:  0, r:  144, g:    5, b:   12
x: 14, y:  0, r:  144, g:    5, b:   12
x: 15, y:  0, r:  143, g:    4, b:   11
x: 16, y:  0, r:  146, g:    7, b:   14
x: 17, y:  0, r:  142, g:    3, b:   10
x: 18, y:  0, r:  152, g:   14, b:   21
x: 19, y:  0, r:  145, g:    4, b:   12
x: 20, y:  0, r:  136, g:    1, b:    4
x: 21, y:  0, r:  149, g:   10, b:   17
x: 22, y:  0, r:  148, g:    8, b:   16
x: 23, y:  0, r:  145, g:    4, b:   12
x: 24, y:  0, r:  147, g:    8, b:   15
x: 25, y:  0, r:  143, g:    4, b:   11
x: 26, y:  0, r:  152, g:   14, b:   21
x: 27, y:  0, r:  143, g:    5, b:   12
x: 28, y:  0, r:  141, g:    5, b:   12
x: 29, y:  0, r:  135, g:    2, b:    7
x: 30, y:  0, r:  134, g:    2, b:    9
x: 31, y:  0, r:  139, g:    8, b:   14
x: 32, y:  0, r:  132, g:    1, b:    8
x: 33, y:  0, r:  136, g:    7, b:    9
x: 34, y:  0, r:  142, g:   13, b:   17
x: 35, y:  0, r:  136, g:    5, b:   10
x: 36, y:  0, r:  151, g:   16, b:   23
x: 37, y:  0, r:  139, g:    5, b:   12
x: 38, y:  0, r:  140, g:    6, b:   13
x: 39, y:  0, r:  141, g:    7, b:   14
x: 40, y:  0, r:  135, g:    2, b:    7
x: 41, y:  0, r:  137, g:    2, b:    8
x: 42, y:  0, r:  137, g:    1, b:    8
x: 43, y:  0, r:  138, g:    3, b:   10
x: 44, y:  0, r:  136, g:    2, b:    9
x: 45, y:  0, r:  135, g:    5, b:   12
x: 46, y:  0, r:  133, g:    2, b:    9
x: 47, y:  0, r:  138, g:    7, b:   12
x: 48, y:  0, r:  140, g:    9, b:   15
x: 49, y:  0, r:  127, g:    0, b:    3
x: 50, y:  0, r:  135, g:    7, b:   11
x: 51, y:  0, r:  144, g:   15, b:   20
x: 52, y:  0, r:  128, g:    0, b:    3
x: 53, y:  0, r:  139, g:    8, b:   14
x: 54, y:  0, r:  131, g:    1, b:    6
x: 55, y:  0, r:  133, g:    4, b:    8
x: 56, y:  0, r:  133, g:    4, b:    8
x: 57, y:  0, r:  129, g:    1, b:    4
x: 58, y:  0, r:  133, g:    3, b:    8
x: 59, y:  0, r:  132, g:    0, b:    5
x: 60, y:  0, r:  131, g:    3, b:    7
x: 61, y:  0, r:  129, g:    0, b:    4
x: 62, y:  0, r:  136, g:    7, b:   11
x: 63, y:  0, r:  130, g:    1, b:    5
x: 64, y:  0, r:  126, g:    0, b:    1
x: 65, y:  0, r:  135, g:    5, b:    9
x: 66, y:  0, r:  128, g:    0, b:    4
x: 67, y:  0, r:  134, g:    8, b:   12
x: 68, y:  0, r:  132, g:    7, b:   11
x: 69, y:  0, r:  130, g:    1, b:    6
x: 70, y:  0, r:  134, g:    5, b:   10
x: 71, y:  0, r:  128, g:    0, b:    4
x: 72, y:  0, r:  135, g:    6, b:   11
x: 73, y:  0, r:  133, g:    4, b:    9
x: 74, y:  0, r:  130, g:    1, b:    6
x: 75, y:  0, r:  136, g:    7, b:   12
x: 76, y:  0, r:  131, g:    2, b:    6
x: 77, y:  0, r:  132, g:    3, b:    7
x: 78, y:  0, r:  130, g:    2, b:    6
x: 79, y:  0, r:  131, g:    2, b:    6
x: 80, y:  0, r:  130, g:    0, b:    5
x: 81, y:  0, r:  132, g:    2, b:    6
x: 82, y:  0, r:  134, g:    3, b:    8
x: 83, y:  0, r:  133, g:    2, b:    7
x: 84, y:  0, r:  139, g:    7, b:   12
x: 85, y:  0, r:  137, g:    4, b:    9
x: 86, y:  0, r:  138, g:    4, b:    9
x: 87, y:  0, r:  141, g:    6, b:   12
x: 88, y:  0, r:  136, g:    1, b:    7
x: 89, y:  0, r:  140, g:    3, b:   10
x: 90, y:  0, r:  140, g:    3, b:   10
x: 91, y:  0, r:  138, g:    1, b:    8
x: 92, y:  0, r:  142, g:    5, b:   12
x: 93, y:  0, r:  140, g:    1, b:    6
x: 94, y:  0, r:  141, g:    4, b:    6
x: 95, y:  0, r:  138, g:    2, b:    6
x: 96, y:  0, r:  139, g:    3, b:    7
x: 97, y:  0, r:  140, g:    3, b:   10
x: 98, y:  0, r:  136, g:    0, b:    6
x: 99, y:  0, r:  144, g:    6, b:   14
x:100, y:  0, r:  149, g:    9, b:   13
x:101, y:  0, r:  138, g:    0, b:    2
x:102, y:  0, r:  152, g:   10, b:   16
x:103, y:  0, r:  156, g:   11, b:   20
x:104, y:  0, r:  143, g:    0, b:    7
x:105, y:  0, r:  155, g:    6, b:   16
x:106, y:  0, r:  155, g:    5, b:   17
x:107, y:  0, r:  154, g:    3, b:   15
x:108, y:  0, r:  163, g:   10, b:   21
x:109, y:  0, r:  158, g:    2, b:   16
x:110, y:  0, r:  161, g:    5, b:   18
x:111, y:  0, r:  161, g:    5, b:   18
x:112, y:  0, r:  158, g:    2, b:   15
x:113, y:  0, r:  163, g:    5, b:   19
x:114, y:  0, r:  161, g:    5, b:   18
x:115, y:  0, r:  161, g:    5, b:   18
x:116, y:  0, r:  168, g:   11, b:   24
x:117, y:  0, r:  160, g:    5, b:   19
x:118, y:  0, r:  156, g:    7, b:   19
x:119, y:  0, r:  153, g:   10, b:   19
x:120, y:  0, r:  136, g:    3, b:   13
x:121, y:  0, r:  131, g:    6, b:   12
x:122, y:  0, r:  114, g:    3, b:    4
x:123, y:  0, r:  105, g:    2, b:    2
x:124, y:  0, r:   92, g:    1, b:    0
x:125, y:  0, r:   76, g:    0, b:    0
x:126, y:  0, r:   73, g:    3, b:    0
x:127, y:  0, r:   69, g:    2, b:    0
x:128, y:  0, r:   62, g:    1, b:    0
x:129, y:  0, r:   75, g:    1, b:    0
x:130, y:  0, r:   94, g:    1, b:    0
x:131, y:  0, r:  114, g:    7, b:    9
x:132, y:  0, r:  126, g:    7, b:   10
x:133, y:  0, r:  127, g:    7, b:    9
x:134, y:  0, r:  121, g:    2, b:    4
x:135, y:  0, r:  120, g:    0, b:    0
x:136, y:  0, r:  122, g:    0, b:    0
x:137, y:  0, r:  156, g:   13, b:   23
x:138, y:  0, r:  181, g:   28, b:   41
x:139, y:  0, r:  198, g:   41, b:   54
x:140, y:  0, r:  194, g:   41, b:   56
