x:  0, y:  0, r:  187, g:  198, b:  194
x:  1, y:  0, r:  187, g:  198, b:  194
x:  2, y:  0, r:  186, g:  197, b:  193
x:  3, y:  0, r:  187, g:  198, b:  194
x:  4, y:  0, r:  186, g:  195, b:  193
x:  5, y:  0, r:  184, g:  193, b:  190
x:  6, y:  0, r:  187, g:  196, b:  193
x:  7, y:  0, r:  188, g:  195, b:  193
x:  8, y:  0, r:  184, g:  193, b:  190
x:  9, y:  0, r:  183, g:  192, b:  189
x: 10, y:  0, r:  187, g:  195, b:  193
x: 11, y:  0, r:  187, g:  194, b:  192
x: 12, y:  0, r:  185, g:  191, b:  189
x: 13, y:  0, r:  188, g:  194, b:  192
x: 14, y:  0, r:  189, g:  195, b:  193
x: 15, y:  0, r:  189, g:  195, b:  193
x: 16, y:  0, r:  189, g:  195, b:  193
x: 17, y:  0, r:  187, g:  193, b:  191
x: 18, y:  0, r:  187, g:  193, b:  191
x: 19, y:  0, r:  187, g:  193, b:  191
x: 20, y:  0, r:  187, g:  193, b:  191
x: 21, y:  0, r:  185, g:  191, b:  189
x: 22, y:  0, r:  186, g:  192, b:  190
x: 23, y:  0, r:  186, g:  192, b:  190
x: 24, y:  0, r:  185, g:  191, b:  189
x: 25, y:  0, r:  186, g:  192, b:  190
x: 26, y:  0, r:  187, g:  193, b:  191
x: 27, y:  0, r:  187, g:  193, b:  191
x: 28, y:  0, r:  187, g:  193, b:  189
x: 29, y:  0, r:  187, g:  193, b:  188
x: 30, y:  0, r:  187, g:  193, b:  188
x: 31, y:  0, r:  187, g:  193, b:  190
x: 32, y:  0, r:  186, g:  192, b:  191
x: 33, y:  0, r:  183, g:  189, b:  188
x: 34, y:  0, r:  186, g:  192, b:  190
x: 35, y:  0, r:  185, g:  191, b:  188
x: 36, y:  0, r:  185, g:  189, b:  187
x: 37, y:  0, r:  187, g:  192, b:  188
x: 38, y:  0, r:  184, g:  188, b:  184
x: 39, y:  0, r:  184, g:  189, b:  185
x: 40, y:  0, r:  184, g:  190, b:  186
x: 41, y:  0, r:  185, g:  191, b:  187
x: 42, y:  0, r:  184, g:  189, b:  185
x: 43, y:  0, r:  184, g:  189, b:  185
x: 44, y:  0, r:  182, g:  188, b:  184
x: 45, y:  0, r:  182, g:  188, b:  184
x: 46, y:  0, r:  180, g:  186, b:  181
x: 47, y:  0, r:  179, g:  185, b:  181
x: 48, y:  0, r:  178, g:  184, b:  180
x: 49, y:  0, r:  179, g:  185, b:  181
x: 50, y:  0, r:  179, g:  185, b:  181
x: 51, y:  0, r:  179, g:  185, b:  181
x: 52, y:  0, r:  178, g:  184, b:  180
x: 53, y:  0, r:  179, g:  186, b:  179
x: 54, y:  0, r:  179, g:  186, b:  179
x: 55, y:  0, r:  180, g:  186, b:  183
x: 56, y:  0, r:  180, g:  186, b:  184
x: 57, y:  0, r:  180, g:  186, b:  184
x: 58, y:  0, r:  177, g:  183, b:  181
x: 59, y:  0, r:  179, g:  185, b:  181
x: 60, y:  0, r:  178, g:  181, b:  181
x: 61, y:  0, r:  177, g:  181, b:  180
x: 62, y:  0, r:  176, g:  180, b:  179
x: 63, y:  0, r:  175, g:  180, b:  178
x: 64, y:  0, r:  174, g:  180, b:  178
x: 65, y:  0, r:  174, g:  180, b:  178
x: 66, y:  0, r:  174, g:  180, b:  178
x: 67, y:  0, r:  171, g:  177, b:  175
x: 68, y:  0, r:  172, g:  178, b:  176
x: 69, y:  0, r:  173, g:  179, b:  177
x: 70, y:  0, r:  174, g:  180, b:  176
x: 71, y:  0, r:  173, g:  179, b:  175
x: 72, y:  0, r:  173, g:  179, b:  173
x: 73, y:  0, r:  172, g:  178, b:  173
x: 74, y:  0, r:  171, g:  177, b:  173
x: 75, y:  0, r:  169, g:  175, b:  171
x: 76, y:  0, r:  170, g:  176, b:  172
x: 77, y:  0, r:  166, g:  172, b:  168
x: 78, y:  0, r:  168, g:  174, b:  170
x: 79, y:  0, r:  165, g:  171, b:  169
x: 80, y:  0, r:  167, g:  172, b:  168
x: 81, y:  0, r:  166, g:  171, b:  167
x: 82, y:  0, r:  167, g:  172, b:  168
x: 83, y:  0, r:  166, g:  171, b:  167
x: 84, y:  0, r:  165, g:  171, b:  167
x: 85, y:  0, r:  164, g:  170, b:  166
x: 86, y:  0, r:  163, g:  170, b:  165
x: 87, y:  0, r:  162, g:  169, b:  161
x: 88, y:  0, r:  161, g:  167, b:  162
x: 89, y:  0, r:  161, g:  167, b:  163
x: 90, y:  0, r:  159, g:  165, b:  161
x: 91, y:  0, r:  158, g:  164, b:  160
x: 92, y:  0, r:  157, g:  164, b:  158
x: 93, y:  0, r:  156, g:  163, b:  156
x: 94, y:  0, r:  155, g:  162, b:  155
x: 95, y:  0, r:  155, g:  162, b:  155
x: 96, y:  0, r:  156, g:  163, b:  156
x: 97, y:  0, r:  156, g:  162, b:  155
x: 98, y:  0, r:  158, g:  163, b:  157
x: 99, y:  0, r:  156, g:  161, b:  155
x:100, y:  0, r:  155, g:  160, b:  154
x:101, y:  0, r:  155, g:  160, b:  154
x:102, y:  0, r:  155, g:  160, b:  154
x:103, y:  0, r:  156, g:  161, b:  155
x:104, y:  0, r:  155, g:  160, b:  154
x:105, y:  0, r:  156, g:  161, b:  155
x:106, y:  0, r:  156, g:  161, b:  155
x:107, y:  0, r:  155, g:  160, b:  154
x:108, y:  0, r:  157, g:  160, b:  154
x:109, y:  0, r:  158, g:  160, b:  155
x:110, y:  0, r:  158, g:  160, b:  155
x:111, y:  0, r:  158, g:  161, b:  156
x:112, y:  0, r:  157, g:  162, b:  156
x:113, y:  0, r:  156, g:  161, b:  155
x:114, y:  0, r:  157, g:  162, b:  156
x:115, y:  0, r:  156, g:  161, b:  155
x:116, y:  0, r:  156, g:  161, b:  155
x:117, y:  0, r:  156, g:  161, b:  155
x:118, y:  0, r:  157, g:  162, b:  156
x:119, y:  0, r:  157, g:  162, b:  156
x:120, y:  0, r:  156, g:  163, b:  156
x:121, y:  0, r:  157, g:  164, b:  157
x:122, y:  0, r:  157, g:  164, b:  157
x:123, y:  0, r:  157, g:  164, b:  157
x:124, y:  0, r:  157, g:  164, b:  157
x:125, y:  0, r:  158, g:  165, b:  158
x:126, y:  0, r:  158, g:  166, b:  159
x:127, y:  0, r:  157, g:  167, b:  160
x:128, y:  0, r:  157, g:  166, b:  161
x:129, y:  0, r:  156, g:  165, b:  162
x:130, y:  0, r:  157, g:  166, b:  163
x:131, y:  0, r:  157, g:  165, b:  160
x:132, y:  0, r:  159, g:  165, b:  160
x:133, y:  0, r:  158, g:  167, b:  162
x:134, y:  0, r:  156, g:  166, b:  161
